Description,Price/Unit,Unit,Price/Measure,Measure
Hp Everyday Paper A4 75gsm 500 Sheets,5.00,unit,5.00,ea
Calgon Water Softener Gel 750ml,5.50,unit,7.33,ltr
Lenor Unstoppables Fresh In Wash Scent Booster Beads 194g,3.00,unit,15.47,kg
Poppell Electronic Lighter,1.35,unit,1.35,ea
Vileda Supermocio Mop Refill,3.73,unit,3.73,ea
Sainsbury's Patterned Snack Bags 13x13cm x20,1.00,unit,5p,ea
Spontex Moppets Thick Cloths x2,1.50,unit,75p,ea
"Pledge Wood Polish, Classic 250ml",1.35,unit,5.40,ltr
Fairy Platinum Dishwasher Tablets Lemon x65,14.00,unit,22p,ea
Lenor Fabric Conditioner Spring Awakening Scent 1.19L (34 Washes),2.00,unit,1.68,ltr
"Finish Dishwasher Freshener, Lemon & Lime",2.50,unit,2.50,ea
Hob Brite Hob Cleaner 300ml,1.50,unit,5.00,ltr
Lenor Fabric Conditioner Spring Awakening Scent 2.905L (83 Washes),4.00,unit,1.38,ltr
"Method Anti-Bac Multi-Surface Cleaner Spray, Wild Rhubarb, 828ml",3.00,unit,3.62,ltr
Sainsbury's Limescale Preventer Tablets x45,4.25,unit,9p,ea
Febreze Blossom & Breeze Air Freshener 300ml,2.00,unit,6.67,ltr
House 247 Toilet Tissue 2 Ply 9 Rolls,1.90,unit,11p,100sht
"Duracell Ultra Alkaline AA Batteries, pack of 8",6.00,unit,75p,batt
"Sainsbury's Ultra Balm Facial Tissues, Large 3 Ply x54 Sheets",1.50,unit,2.78,100sht
Dettol 5-in-1 Antibacterial Washing Machine Cleaner Original 250ml,3.50,unit,14.00,ltr
Tiger Tim Firelighters x18,3.00,unit,17p,ea
"Sainsbury's Fabric Conditioner, Clear Skies 630ml (21 Washes)",75p,unit,1.19,ltr
Dettol Laundry Sanitiser Antibacterial Liquid Additive Fresh Cotton 2.5L,7.50,unit,3.00,ltr
Silk Cut x20,13.40,unit,67p,cig
"Regina Toilet Tissue, Chamomile x4 Rolls",2.75,unit,43p,100sht
Rothmans Blue Superkings x20,8.60,unit,43p,cig
Spontex Heavy Duty Scouring Pads x3,1.50,unit,50p,ea
Finish Dishwasher Cleaner Lemon Scent 2x250ml,5.00,unit,10.00,ltr
Sainsbury's Scouring Pads x4,1.20,unit,30p,ea
"Pledge Multi-Surface Polish, Original 250ml",1.35,unit,5.40,ltr
Dylon Spray Starch 300ml,2.00,unit,6.67,ltr
Viakal Classic Limescale Remover Liquid 500ml,2.00,unit,4.00,ltr
Calgon Water Softener Tablets x15,5.50,unit,37p,ea
Persil Bio Laundry Liquid Colour 918ml (34 Washes),5.00,unit,5.45,ltr
Bold 2in1 Washing Liquid Gel Lavender and Camomile 888ml (24 Washes),4.00,unit,4.50,ltr
"Bloo Rim Block, Citrus",1.00,unit,1.00,ea
Domestos Power 5 Ocean Rim Block 55g,1.00,unit,1.00,ea
Sainsbury's Tie Top Swing Bin Bags x20,1.50,unit,8p,ea
"Comfort Intense Fabric Conditioner, Fresh Sky 570ml (36 washes)",2.00,unit,3.71,ltr
Sainsbury's Home 10pk White Paper Plates,2.00,unit,2.00,ea
