Description,Price/Unit,Unit,Price/Measure,Measure
Alberto Balsam Sunkissed Raspberry Hair Conditioner 350ml,1.00,unit,29p,100ml
Always Ultra Normal (Size 1) Sanitary Towels x16,1.90,unit,12p,ea
Halls Mentholyptus Extra Strong x9,60p,unit,60p,ea
Sainsbury's Massage Sponge,1.20,unit,1.20,ea
Nivea Men Shower Gel Sport 250ml,1.00,unit,40p,100ml
L'Oral Kids Extra Gentle 2-in-1 Very Berry Strawberry Shampoo 250ml,2.40,unit,96p,100ml
Sainsbury's Classic Clean Anti-Dandruff Shampoo 300ml,1.00,unit,33p,100ml
Radox Bath Soak Feel Pampered 500ml,1.20,unit,24p,100ml
Dove Men+Care Clean Comfort Body & Face Wash 250ml,2.20,unit,88p,100ml
Colgate Max Fresh Cooling Crystals Toothpaste 125ml,3.50,unit,2.80,100ml
Calpol Sugar & Colour Free Infant Suspension Paracetamol Medication For 2+ Months 100ml,3.50,unit,3.50,100ml
Sainsbury's Ladies Shave Gel Sensitive 200ml,1.00,unit,50p,100ml
TENA Lights Long Incontinence Liners x20,1.50,unit,8p,ea
Clean & Clear Facial Wash 150ml,3.00,unit,2.00,100ml
Lil-Lets Tampons Super PLus Extra x14,1.70,unit,12p,ea
Oral-B Pro-Expert Healthy White Whitening Toothpaste 75ml,3.50,unit,4.67,100ml
Rennie Peppermint Heartburn & Indigestion Relief Tablets x72,4.50,unit,6p,tblt
Femfresh Intimate Hygiene Feminine Freshness Wipes Large x25,2.00,unit,8p,ea
Johnson's Baby Powder 200g,1.50,unit,75p,100g
Dove Men Clean Comfort Anti-Perspirant Deodorant Aerosol 250ml,1.70,unit,68p,100ml
Mitchum Powderfresh Roll-On Anti-Perspirant Deodorant 100ml,3.00,unit,3.00,100ml
Colgate Total Peppermint Blast Mouthwash with CPC 500ml,3.00,unit,60p,100ml
Right Guard Women Total Defence 5 Anti-Perspirant Deodorant Invisible Power 250ml,1.50,unit,60p,100ml
Panadol Extra Soluble paracetamol caffeine pain relief tablets x24,4.00,unit,17p,tblt
Lynx Dry Anti-Perspirant Deodorant Africa 150ml,1.75,unit,1.17,100ml
Sainsbury's Bath Cream with Magnolia & Silk Extracts 1l,70p,unit,7p,100ml
Nivea Men Sensitive Shave Gel with 0 % Alcohol 200ml,3.00,unit,1.50,100ml
Men Advance Sensitive Shave Gel 200ml,1.00,unit,50p,100ml
Colgate Sensitive with Sensifoam Whitening Toothpaste 75ml,1.50,unit,2.00,100ml
Aquafresh Big Teeth Gum Friendly 6-8 Years Kids Soft Toothbrush,2.00,unit,2.00,ea
Johnson's Baby Gold Shampoo 500ml,1.50,unit,30p,100ml
Right Guard Total Defence 5 Anti-Perspirant Deodorant Cool 250ml,1.50,unit,60p,100ml
Wilkinson Sword Extra II Razor for Women x5,1.50,unit,30p,ea
Rennie Peppermint Heartburn & Indigestion Relief Tablets x24,2.20,unit,9p,tblt
Simple Kind To Eyes Eye Makeup Remover for Sensitive Skin 125ml,3.00,unit,2.40,100ml
Sainsbury's Pantyliners Large x28,95p,unit,3p,ea
Simple Kind to Skin Refreshing Shower Gel 500ml,1.50,unit,30p,100ml
Impulse Body Spray Hint of Musk 75ml,1.00,unit,1.33,100ml
Dove Go Fresh Roll-On Anti-Perspirant Deodorant Cucumber 50ml,1.50,unit,3.00,100ml
L'Oreal Elvive Colour Protect Coloured Hair Shampoo 250ml,3.00,unit,1.20,100ml
TENA Lady Discreet Extra Plus Incontinence Pads x16,4.00,unit,25p,ea
Panadol Extra Advance paracetamol caffeine pain relief tablets x14,2.70,unit,19p,ea
Dove Anti-Perspirant Aerosol Deodorant Invisible 250ml,1.70,unit,68p,100ml
Carex Advanced Protect Moisturising Antibacterial Hand Wash 500ml,1.75,unit,35p,100ml
Simple Kind to Skin Nourishing Body Wash 250ml,1.00,unit,40p,100ml
Corsodyl Mint Gum Problem Treatment Mouthwash 300 ml,5.00,unit,1.67,100ml
Plackers Mint Flossers 36 Sticks,1.50,unit,1.50,ea
Sainsbury's Fairtrade Cottonwool Pads x100,1.85,unit,2p,ea
Sainsbury's Classic Clean Anti-Dandruff 2 in 1 Shampoo 300ml,1.00,unit,33p,100ml
Silvikrin Classic Hairspray Firm Hold 400ml,3.50,unit,88p,100ml
Sainsbury's Extra Long Liners x22,95p,unit,4p,ea
Imperial Leather Moroccan Sunset & Argan Oil Shower Cream 250ml,90p,unit,36p,100ml
Oral-B Pro Expert Deep Clean Mint Toothpaste 75ml,3.50,unit,4.67,100ml
Sure Men Active Dry Anti-Perspirant Deodorant Aerosol 250ml,1.46,unit,58p,100ml
Adidas Shower Gel Ice Dive 250ml,1.50,unit,60p,100ml
Gillette Mach 3 Razor Blades x4,9.00,unit,2.25,bld
Corsodyl Cool Mint Daily Care Alcohol Free Fluoride Mouthwash 500ml,3.00,unit,60p,100ml
Listerine Advanced Defense Gum Mouthwash 500ml,3.80,unit,76p,100ml
Vosene Medicated Original Anti-Dandruff Shampoo 250ml,2.00,unit,80p,100ml
Nivea Anti-Perspirant Deodorant Roll-On Pearl & Beauty 48 Hours Deo 50ml,1.50,unit,3.00,100ml
Sudafed Blocked Nose Spray 15ml,4.00,unit,26.67,100ml
Lemsip Max Cold & Flu Remedy Sachets Lemon x10,3.50,unit,35p,ea
L'Oreal Paris Age Perfect Cleansing Wipes x25,4.75,unit,19p,wipe
Ultra Vitamin D Tablets x96,4.50,unit,5p,ea
Sainsbury's Little Ones Hand & Face Single Pack 15 Wipes,60p,unit,4p,wipe
Tampax Pearl Regular Tampons Applicator x18,2.50,unit,14p,ea
Always Discreet Incontinence Pads+ Long For Sensitive Bladder x10,2.50,unit,25p,ea
Method Handwash Botanical Garden 354ml,2.00,unit,57p,100ml
L'Oreal Paris Kids 2-in-1 Tropical Mango Shampoo 250ml,2.40,unit,96p,100ml
Dove Original Anti-perspirant Deodorant Aerosol 250ml,1.70,unit,68p,100ml
Haliborange Fruit Softies x30,3.50,unit,12p,ea
Johnson's Baby Top To Toe Baby Bath 500ml,1.50,unit,30p,100ml
Imodium Original Anti-Diarrhoeal Capsules x6,3.00,unit,50p,tblt
Nurofen Strawberry Oral Suspension 3mths to 9yrs Children 100ml,3.60,unit,3.60,100ml
Sure Women Anti-Perspirant Deodorant Roll On Bright Bouquet 50ml,1.00,unit,2.00,100ml
Herbal Essences Ignite My Colour Conditioner 400ml,2.00,unit,50p,100ml
The Collection Moisture Handwash Refill 500ml,1.00,unit,20p,100ml
Listerine Total Care Mouthwash 1L,4.80,unit,48p,100ml
Tampax Compak Super Plus Tampons Applicator x18,2.00,unit,11p,ea
Sainsbury's Sanitary Towel Disposal Bags x50,1.00,unit,2p,ea
Cuticura Original Anti Bacterial Hand Gel Crisp & Fresh 50ml,1.05,unit,2.10,100ml
Sainsbury's Coconut Shampoo 500ml,75p,unit,15p,100ml
Gillette Fusion Razor Blades x4,12.50,unit,3.13,bld
Alberto Balsam Coconut & Lychee Hair Shampoo 350ml,1.00,unit,29p,100ml
Aussie Mega Instant Shampoo 300ml,4.00,unit,1.33,100ml
Imperial Leather Talcum Powder Original 300g,1.25,unit,42p,100g
L'Oreal Elvive Fibrology Fine Hair Conditioner 400ml,2.50,unit,63p,100ml
Gillette Venus Sensitive Skin Shave Gel 200ml,2.00,unit,1.00,100ml
Batiste Blush Floral & Flirty Dry Shampoo 200ml,2.25,unit,1.13,100ml
