Description,Price/Unit,Unit,Price/Measure,Measure
Ella's Kitchen Organic Beef Stew and Root Veg Toddler Tray Meal 12+ Months 200g,1.80,unit,90p,100g
Sainsbury's Little Ones Organic Lamb & Chickpea Tagine with Prune & Cous Cous 7+ Months 130g,1.00,unit,77p,100g
Johnsons No More Tangles Kids Conditioner Spray 200ml,2.00,unit,1.00,100ml
Kiddyum Kids' Ready Meal Cheesy Peasy Pasta 200g,1.75,unit,8.75,kg
Cow & Gate Multigrain Banana Porridge Baby Cereal 200g,2.00,unit,1.00,100g
Baby Dove Rich Moisture Head to Toe Wash 400ml,1.50,unit,38p,100ml
Aptamil Multigrain Banana & Berry Cereal 200g 7 Month+,2.00,unit,1.00,100g
Aptamil Creamed Porridge Cereal 125g 4 Month+,1.75,unit,1.40,100g
Kiddyum Kids' Ready Meal Fish & Vegetable Pie 200g,1.75,unit,8.75,kg
Aptamil ProFutura 2 Follow On Baby Milk Formula 800g,15.00,unit,1.88,100g
Huggies Little Swimmers Size 3-4  12 Swim Nappies,4.00,unit,33p,napy
Sainsbury's Little Ones Organic Lentil & Chickpea Dhal with Rice 7+ Months 130g,1.00,unit,77p,100g
Aptamil Multigrain Breakfast Cereal 200g 7 Month+,2.00,unit,1.00,100g
Huggies Pure Wet Baby Wipes Odour Free 56x12Pk,7.00,unit,1p,ea
Sainsbury's Moisturising Baby Soap 100g,50p,unit,50p,100g
Vitabiotics Pregnacare Breast Feeding x84,12.00,unit,14p,ea
Organix Banana Organic Baby Snack Biscuits 54g,1.60,unit,2.96,100g
Organix Banana & Plum Organic Baby Porridge 200g,2.50,unit,1.25,100g
HiPP Organic Carrots Cauliflower & Peas Jar 125g 4 Months+,60p,unit,48p,100g
Ella's Kitchen Organic Chicken and Rice Casserole Baby Pouch 10+ Months 190g,1.75,unit,92p,100g
Kiddylicious Mini Coconut Rolls 8 x 6.8g,2.00,unit,3.57,100g
Organix Mini Gingerbread Men Biscuits 25g,70p,unit,2.80,100g
Pampers Baby-Dry Nappy Pants Size 6 15kg+ Essential Pack x28,4.50,unit,16p,ea
Johnson's Baby Lotion 300ml,1.50,unit,50p,100ml
Pampers Baby-Dry Nappies Size 7 15kg+ x58,9.75,unit,17p,napy
Kiddylicious Blueberry Wafers Snack 40g 6 Month+,2.20,unit,5.50,100g
Childs Farm Bubble Bath Organic Raspberry 250ml,3.00,unit,1.20,100ml
Kiddylicious Banana Soft Biscotti 7+ Months 6 x 20g (120g),2.05,unit,1.71,100g
Colgate Kids Mild Mint Toothpaste 6-9 Years 75ml,1.50,unit,2.00,100ml
Sainsbury's Little Ones Head To Toe Wash 500ml,1.00,unit,20p,100ml
Johnson's Baby Lotion 500ml,1.50,unit,30p,100ml
Bathtime Buddies Soapy Foam 3+ 250ml,2.00,unit,89p,100ml
Sainsbury's Little Ones Organic Beef Casserole 6+ Months 120g,1.00,unit,83p,100g
Organix Melty Carrot Puffs Multipack 4x18g,2.50,unit,3.47,100g
Sainsbury's Little Ones Baby Shampoo 500ml,1.00,unit,20p,100ml
Aptamil Baby Rice Cereal 100g 4 Month+,1.50,unit,1.50,100g
Sainsbury's Little Ones Organic Cauliflower & Broccoli Cheesy Pasta 6+ Months 120g,1.00,unit,83p,100g
BEAR PAWS Fruit Shapes Apple & Blackcurrant Multipack x5 20g,2.00,unit,2.00,100g
Sainsbury's Little Ones Organic Chicken Casserole Smooth Puree 4+ Months 100g,80p,unit,80p,100g
Sainsbury's Little Ones Organic Green Veggies Smooth Puree 4+ Months 70g,60p,unit,86p,100g
Pampers Baby-Dry Nappy Pants Size 4 9-15kg x 74,9.75,unit,14p,ea
